,User,Date Created,Number of Likes,Source of Tweet,Tweet,Number of Retweet
0,#EndSARS,2023-01-13 09:28:37+00:00,0,Twitter for Android,"RT @PeterObi: Fellow Nigerians, we are one step closer to victory. In order to exercise your constitutional right to elect me as your Presi…",269
1,Aian.91,2023-01-13 09:28:36+00:00,0,Twitter for Android,"RT @NounaGAW: I will send $100 to 2 random person if #BITCOIN hit $24k in 24 hours 

Like +RT",908
2,Steven,2023-01-13 09:28:36+00:00,0,Twitter Web App,"RT @Bitcoin: #Bitcoin realized price has surpassed $24,000. https://t.co/BzcAGQdkm1",133
3,Cedric Liu,2023-01-13 09:28:34+00:00,0,Twitter for iPhone,RT @saylor: #Bitcoin Eruption. https://t.co/urvm2BHsK3,2463
4,STAN 1,2023-01-13 09:28:33+00:00,0,Twitter for iPhone,"RT @courbet_julien: Un chien c'est un membre de la famille,ça peut se temps en temps te détruire le jardin😂mais au bout du compte ça te fer…",117
5,zwartwit,2023-01-13 09:28:32+00:00,0,Twitter for iPhone,"RT @Excellion: CBDCs are completely optional and made for your safety and convenience. 
 
Unless you don’t use it (Nigeria’s eNaira CBDC on…",29
6,Zainal Abidin,2023-01-13 09:28:31+00:00,0,Twitter for Android,"RT @piplay_io: Pi Network Ecosystems 
#pi #PiNetwork #Crypto #Bitcoin #Ethereum #Airdrop #PlayToEarn https://t.co/eqHZhw1v8c",8167
7,GogoJungle_EN,2023-01-13 09:28:31+00:00,0,Twitter Web App,"RT @kggogo7: 5 min scalper/indicator (MT4)
https://t.co/iMU9vvjDmA

#metatrader #investment #EURUSD #fx #indicator #mt4 #mt5 #mql4 #mql5 #f…",1
8,Javi,2023-01-13 09:28:30+00:00,0,Twitter for iPhone,"RT @TheBitcoinConf: Fiat in Venezuela is so worthless people threw it out with the garbage

🇻🇪 needs #Bitcoin https://t.co/uVJflvrrMX",801
9,Richard,2023-01-13 09:28:30+00:00,0,Twitter Web App,RT @Bitcoin: About $10B of #Bitcoin withdrawn from exchanges over the past four months. https://t.co/dmBgr09HeR,307
10,😻Christopher😆,2023-01-13 09:28:30+00:00,0,Twitter Web App,RT @saylor: #Bitcoin grew to a trillion dollar network faster than anything humanity has yet to devise because it is the most elegant &amp; eff…,1808
11,semmi,2023-01-13 09:28:30+00:00,0,Twitter for Android,"RT @CryptoTroia: 0,14$’dan aldığım ve ısrarla 0,27$ beklediğim #OCEAN’da hedefim gelmiştir.

Ağlayarak, üzülerek vedalaşıyorum seninle öz c…",329
12,bayram abacı,2023-01-13 09:28:29+00:00,0,Twitter for Android,"RT @CryptoTroia: 0,14$’dan aldığım ve ısrarla 0,27$ beklediğim #OCEAN’da hedefim gelmiştir.

Ağlayarak, üzülerek vedalaşıyorum seninle öz c…",329
13,🤏𝔐𝔦𝔠𝔥𝔞𝔢𝔩👌,2023-01-13 09:28:27+00:00,0,Twitter Web App,"RT @Bitcoin: ""Inflation, as this term was always used everywhere and especially in this country, means increasing the quantity of money and…",156
14,ᴅᴀᴠɪᴅ🤣,2023-01-13 09:28:26+00:00,0,Twitter Web App,"RT @TrustWallet: Got a card? 💳

Want to buy $DOGE, #Bitcoin or other cryptocurrencies?

With Trust Wallet you can buy crypto with your card…",982
15,ネコイド,2023-01-13 09:28:25+00:00,0,Twitter for iPhone,"RT @rupan_2525sub: 《23日目》ルパンから毎日100万円配ってます。🎉毎日開催中🎆

ルパンをフォロー&amp;この投稿をリツイートで【1,000,000円】 が【毎日】当たります🎉

当選者にはDMを送ります！
①PayPay②現金③仮想通貨④Bitcoin  リプ…",762
16,🥳Jeff🤨,2023-01-13 09:28:24+00:00,0,Twitter Web App,RT @Bitcoin: Perhaps the most honest commercial in the crypto industry. @FTX_Official @SBF_FTX https://t.co/FTlLLkLlW0,352
17,Jorge Rivas,2023-01-13 09:28:22+00:00,0,Twitter for Android,"RT @LaHuellaSV: #Tendencias | Alejandra Guajardo utilizó un traje que hace homenaje al #Bitcoin, moneda de curso legal y oficial en El Salv…",22
18,alii 🍀pls followback,2023-01-13 09:28:20+00:00,0,Twitter for Android,"RT @krabs04: 🚨100$ Giveaway!🚨
💰Crypto/Paypal/Bank💰

How to enter:
✅Retweet+Follow
✅Watch the video till end + Like
https://t.co/jdwAyZUrGW…",849
19,bartholomeus,2023-01-13 09:28:20+00:00,0,Twitter for iPhone,"RT @100trillionUSD: My 2 sats on #bitcoin price:
- November 2022 low of $15,5K was the bottom
- BTC has crossed Short Term Holder (STH) and…",682
20,FD,2023-01-13 09:28:19+00:00,0,Twitter for Android,"RT @CryptoHelinss: 💫 2 Kişiye 25$ toplamda 50$ (940 TL ) Hediye 🎁

@ilhanbelfort ve @BerkAdamcoin takip edin 💥

Bu Tweet'e rt + fav❤ Yapın…",735
21,🧐𝓟𝓪𝓾𝓵,2023-01-13 09:28:18+00:00,0,Twitter Web App,RT @Bitcoin: The cost basis of long-term #Bitcoin hodlers has encountered a significant decline. https://t.co/WV71WMjl0T,143
22,𝔍𝔬𝔰𝔢𝔭𝔥,2023-01-13 09:28:18+00:00,0,Twitter Web App,"RT @krakenfx: New to crypto? We make it easy to get started ✨

💳 Get crypto with your bank account
🛍 Buy or sell #Bitcoin &amp; 50+ cryptos
👖 Y…",103
23,😙𝓦𝓲𝓵𝓵𝓲𝓪𝓶😃,2023-01-13 09:28:18+00:00,0,Twitter Web App,RT @Bitcoin: The ultimate treasury reserve asset. @MicroStrategy @michael_saylor @elonmusk @100trillionUSD https://t.co/Fu1zxpXdWD,394
24,𝐖𝐢𝐥𝐥𝐢𝐚𝐦👋,2023-01-13 09:28:18+00:00,0,Twitter Web App,RT @saylor: Some never invented the wheel. Others keep trying to reinvent it. #Bitcoin,743
25,Kevin,2023-01-13 09:28:17+00:00,0,Twitter Web App,"RT @TrustWallet: Only 27 companies own a combined total around 1% of total #Bitcoin supply.
Doesn't seem like much until you realise that l…",149
26,🤏Jeff😇,2023-01-13 09:28:17+00:00,0,Twitter Web App,RT @saylor: @Ryanbabel Focus is critical to success in life. #Bitcoin,59
27,ᴊᴀsᴏɴ🤚,2023-01-13 09:28:17+00:00,0,Twitter Web App,"RT @CoinMarketCap: What's your thought? 

How high do you think #Bitcoin will reach after the Merge? 👀",50
28,🤓𝔐𝔞𝔯𝔨👋,2023-01-13 09:28:17+00:00,0,Twitter Web App,"RT @krakenfx: 🪐     .  ✨      .         🌚  ✨
                         🚀
✨   .        💥     .           ✨
     ⭐️
       .               ✨…",173
29,Charles,2023-01-13 09:28:16+00:00,0,Twitter Web App,RT @saylor: @brianchoffman @BitcoinIsSaving @krakenfx #Bitcoin on #Lightning⚡️,92
30,🤑𝕲𝖊𝖔𝖗𝖌𝖊🎃,2023-01-13 09:28:16+00:00,0,Twitter Web App,"RT @cz_binance: 2013, mostly just #Bitcoin
2017, ICOs (#ETH, ERC20, #BNB, etc)
2021, DeFi, NFTs, Licenses, Fan Tokens, Payments, GameFi, Me…",429
31,👌Paul👌,2023-01-13 09:28:16+00:00,0,Twitter Web App,RT @Bitcoin: The global bond market has seen a collapse in yields. Negative yielding debt and yields below 1% keep climbing. The 0-1% yield…,111
32,13%er toxic node runner - bitcoin is not crypto,2023-01-13 09:28:15+00:00,0,Twitter for Android,"RT @TrueCrypto28: #BTC 

What does this all do to the long-term price target of #Bitcoin?

Answer: Nothing! 

Price compression is all abou…",19
33,Favour Emonena,2023-01-13 09:28:15+00:00,0,Twitter for Android,RT @realEvanAldo: New video is up! DENIAL PHASE! Why Bitcoin Could Rally to 25k and then Bottom at 10k in a... https://t.co/evjY3Xag3W via…,4
34,lene lene,2023-01-13 09:28:15+00:00,0,Twitter for iPhone,"RT @TS_Squirrel: The most powerful layer-1 smart contract project in Crypto, #ETC
-No Governance/CEO or greedy BODs'
-Limited to only 210.7…",4
35,Olivia F. 🍪,2023-01-13 09:28:14+00:00,0,Twitter for Android,"RT @RollbitRewards: $100 #Giveaway 🎁

Just #RT and #follow us! 🎉

Winner in 24h 💸 #RollbitRewards 

#Crypto #Bitcoin #BTC #Etherium #ETH ht…",4164
36,Senem,2023-01-13 09:28:13+00:00,0,Twitter for iPhone,"RT @Cannrunner: #bitcoin güncel analizim 
Takoz içerisinde üst kanala ulaşan btc de , 5. Düşüş dalgasını bekliyorum . 5. Dalga nın bitiş ye…",2
37,いさお　タグ付けどうぞ,2023-01-13 09:28:13+00:00,0,Twitter Web App,"RT @_JokerNFT_: 💫
#NFT🎁#Giveaways 🎁 $ETH 

🎀3 𝐖İ𝐍𝐍𝐄𝐑𝐒 🎀

Follow  [ フォロー ] 
                @_JokerNFT_
@Oncel_S35

♥ RT #ETH wallet

#NFTCo…",18
38,Nizamül MÜLK,2023-01-13 09:28:11+00:00,0,Twitter for Android,"RT @OXRO0: 👉OXRO offers strategies that protect the value of your investments and increase your earnings.💯
✅OXRO enables you to make your i…",16
39,Rahul,2023-01-13 09:28:10+00:00,0,goaidev,"RT @Hackwithgibson1: For any lost coins, wallet, pass phrase or Any account Problem contact me now
#ArtificialIntelligence #AI #ML #Bitcoin…",1
40,BlockX ⚡,2023-01-13 09:28:09+00:00,0,Twitter Web App,"RT @bradmillscan: 🚨CBDC news🚨

The Central Bank of Nigeria has restricted citizens to $100/day in withdrawals AND they are invalidating all…",172
